AID,AName,Description,Benefits,Contraindications,Breathing,awareness,You tube Vdo link,Photo,References,Pain,Variations,Level
30,Kashtha Takshanasana,"Squat with the feet flat on the floor about 45 an apart. The knees should be fully bent and separated. Clasp the fingers of both hands together and place them just above the floor between the feet. Straighten the arms and keep them straight throughout the practice. The elbows should be inside the knees. The eyes should remain open. Imagine the action of chopping wood. Raise the arms above and behind the head, stretching the spine upward. Look up towards the hands. Make a downward stroke with the arms, as if chopping wood. Expel the breath making a 'Hal' sound. The hands should return near the floor in between the feet. This is one round. Practise 5 to 1 0 rounds.","This asana loosens up the pelvic girdle and tones the pelvic muscles. It also has a special effect on the usually inaccessible muscles of the back between the shoulder blades, as well as the shoulder joints and upper back muscles. It helps io release frustration and lighten the mood.",Not for people with knee problems or sciatica.,Inhale while raising the arms. Exhale while lowering the arms.,"On the movement and stretch of the shoulder and upper back muscles, and the breath.",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR_CLte0M3I9pfgPahUzrck4wQJ74HM6-neMA&s,,Upper Back Relief,,Beginners
31,Namaskarasana,"Squat with the feet flat on the floor about 60 em apart. The knees should be wide apart and the elbows pressing against the inside of the knees. Bring the hands together in front of the chest in a gesture of prayer.  This is the starting position. The eyes 1nay be open or closed. Inhale and bend the head backwards. Feel the pressure at the back of the neck. Simultaneously, use the elbows to push the knees as wide apart as comfortable. Hold this position fo r 3 seconds while retaining the breath. Exhale and straighten the arms directly in front of the body. At the same  time, push in with the  knees, pressing the upper arms inward. The head should be bent forward with the chin pressed against the chest. Hold this position, retaining the breath, fo r 3 seconds. Return to the starting position. This is one round. Practise 5 to 1 0 rounds. ","This asana has a profound effect on the nerves and muscles of the thighs, knees, shoulders, arms and neck. It increases flexibility in the hips.",Not for people with knee problems or sciatica.,Inhale while bringing the palms together in front of the chest,"On the stretch on the groin and compression at the back of the neck, then changing to relaxation of the upper back and shoulder muscles in the forward position, and the breath",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQpAIuz0Li4i9YjjkqMxGqgd8mvTVlOTA_elw&s,,Shoulder Relief,,Beginners
34,Udarakarshanasana,"Squat with the feet apart and the hands on the knees. Inhale deeply. Exhale, bringing the right knee to the floor near the left foot. Using the left hand as a lever, push the left knee towards the right, simultaneously twisting to the left. Keep the inside of the right foot on the floor. Try to squeeze the lower abdomen with the combined pressure of both thighs. Look over the left shoulder. Hold the breath out for 3 to 5 seconds in the final position. Inhale when returning to the starting position. Repeat on the other side of the body to complete one round. Practise 5 to 10 rounds.",This pose is very useful for abdominal ailments because it alternately compresses and stretches the organs and muscles of this region. It also relieves constipation.,Not fo r people with knee problems or sciatica.,,"On the movement and the alternate stretch and compression of the lower abdomen, and on the syn­chronized breath.",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ5TKSDIhPchjkNN4pRJ0GDQS1Ihav1HiCzuw&s,,Digestive Relief,,Beginners
42,Nearing And Distant Viewing,"Stand or sit at an open window, preferably with a clear view of the horizon, with the anns by the sides. Focus the eyes on the nosetip, nasikagra drishti, for 5 seconds. Then focus on a distant object on the horizon for 5 seconds. Repeat this process 1 0 tin1es. Close the eyes and relax. Palming may be performed at this time.","This exercise improves the accommodating and focusing power of the eye muscles and the range of movements 
in these eye muscles is further increased. ","Those who suffer from major eye diseases or disorders such as glauco1na, trachoma, cataract, retinal detachment, retinal artery or vein thrombosis, iritis, keratitis or conjunctivitis should only perform yoga practices after consulting an eye specialist. Inverted asanas and kunjal kriya should be avoided altogether while the condition lasts. Adopting a yogic lifestyle and a simple vegetarian diet, however, may be of great benefit.",Inhale during near viewing. Exhale during distant viewing.,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTyYf4Ui1r9MBS2egAHRog66UJDbRoVdYN--g&s,,"Muscle Fatigue
",,Beginners
43,Shavasana (corpse pose),"Lie flat on the back with the arms about 15 em away from the body, palms facing upward. A thin pillow or folded cloth may be placed behind the head to prevent discomfort. Let the fingers curl up slightly. Move the feet slightly apart to a comfortable position and close the eyes. The head and spine should be in a straight line. Make sure the head does not fall to one side or the other. Relax the whole body and stop all physical movement. Become aware of the natural breath and allow it to become rhythmic and relaxed. Mter some time, again become aware of the body and surroundings, and gently and smoothly release the posture.","This asana relaxes the whole psycho-physiological system. It should ideally be practised before sleep; before, during and after asana practice, particularly after dynamic exercises such as surya namaskara; and when the practitioner feels physically and mentally tired. It develops body awareness. When the body is completely relaxed, awareness of the mind increases, developing pratyahara.",,"Natural and relaxed, or begin to count the breaths from number 27 backwards to zero. Mentally repeat, ""I am breathing in 27, I am breathing out 27, I am breathing in 26, I am breathing out 26"", and so on, back to zero. If the mind wanders and the next number is forgotten, bring it back to the counting and start again at 27. If the mind can be kept on the breath for a few minutes, the body will relax.","Physical - first on relaxing the whole body, then on the breath. Spiritual - on ajna chakra. Do not move the body at all during the practice 
as even the slightest movement disturbs the practice. 
A personal mantra may be repeated with every inhalation 
and exhalation. 
For maximum benefit, this technique should be performed 
after a hard day's work, before evening activities, or to 
refresh the body and mind before sitting for meditation, 
or just before sleep.",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRKpA_Rvkd53jzi-Z2279vK2lXRijoN0kgHfg&s,,Physical Strain,,Beginners
44,Advasana (reversed corpse pose),"Lie on the stomach. Stretch both arms above the head with the palms facing downward. The forehead should be resting on the floor. Relax the whole body in the same way as described for shavasana. If there is difficulty breathing or a sense of suflocation is experienced, a pillow may be placed under the chest. After some time, again become aware of the body and surroundings, and gently and smoothly release the posture.","Recommended for those with slipped disc, stiff neck and stooping figure.",,: Natural and rhythmic. The number of breaths may be counted as in shavasana while gently pushing the abdomen against the floor.,"Physical - on relaxing the whole body, and on the breath. Spiritual - on ajna or manipura chakra.",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSxTZssF68Q0GAMWeAAESlXx0g8kACUMfhEsw&s,,Spinal Alignment,,Beginners
45,Jyestikasana (superior posture),"Lie flat on the stomach with the legs straight and the forehead resting on the floor. Interlock the fingers and place the palms on the back of the head or neck. Allow the elbows to rest on the floor. Relax the whole body and become aware of the breathing process as described for shavasana. After some time, again become aware of the body and surroundings, and gently and smoothly release the posture.","This asana is helpful for all spinal complaints, especially cervical spondylitis and stiff neck or upper back.",,Natural and rhythmical.,"Physical - on relaxing the whole body, feeling the soothing warmth of the palms melting away the tensions in the neck and related areas, and feeling the breath. Spiritual - on ajna or manipura chakra.",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR0y7Jrz056IVeZ6pVWvKO3YrOra_YY148r20_Y-0v0WWiRz0ECb2ABHmZbOn7csj-eVw&usqp=CAU,,Neck Flexibility,"This asana may also be performed with the fingers of both hands interlocked and placed under the forehead, palms facing up.",Beginners
46,Makarasana (crocodile pose),"Lie flat on the stomach. Raise the head and shoulders and rest the chin in the palms of the hands with the elbows on the floor. Keep the elbows together for a more pronounced arch to the spine. Separate the elbows slightly to relieve excess pressure on the neck. In makarasana the effect is felt at two points: the neck and the lower back. If the elbows are too far in front, tension will be felt in the neck; if they are drawn too close to the chest, tension will be felt more in the lower back. Adjust the position of the elbows so that these two points are equally balanced. The ideal position is when the whole spine is equally relaxed. Relax the whole body and close the eyes. After some time, again become aware of the body and surroundings, and gently and smoothly release the posture.","This asana is very effective for people suffering from slipped disc, sciatica, and certain types of lower back pain. They should remain in this asana for extended periods of time as it encourages the vertebral column to resume its normal shape and releases compression of the spinal nerves. Asthmatics and people who have any other lung ailments should practise this simple asana regularly with breath awareness as it allows more air to enter the lungs.","Those with back conditions, such as exaggerated lumbar curve, should not practise this asana if any pain is experienced.","Natural and rhythmic, or practise inhaling, moving the awareness up along the spine from the tail bone to the neck and exhaling, bringing the awareness back down from the neck to the tail bone. Feel the breath moving up and down the spine. This will quickly activate the healing energies in this area. For lower back pain due to tension, concentrate on this area and feel it expanding and relaxing with every inhalation and exhalation","Physical - with concentration on the lower back, and relaxing the whole body, and on the breathing process. Spiritual - on manipura chakra.",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR_ofsWZE1-0igvILXRYTRnpAslmhzj1IMk2g&s,,Back Relief,,Beginners
47,Matsya Kridasana (flapping fish pose),"Lie on the stomach with the fingers interlocked under the head. Bend the left leg sideways and bring the left knee close to the ribs. The right leg should remain straight. Swivel the arms to the left and rest the left elbow near the left knee. Rest the right side of the head on the crook of the right arm, or a little further down the arm for more comfort. Relax in the final pose and, after some time, change sides. This position resembles a flapping fish. 91 Mter some time, again become aware of the body and sun·oundings, and gently and smoothly release the posture.","This asana stimulates digestive peristalsis. It relieves sciatic pain by relaxing the nerves in the legs. People for whom the practice of fotward bending asanas is not recomtnended may practise matsya kridasana as a counterpose after backward bending asanas. It relaxes tension in the perineum. In the later months of pregnancy, lying on the back may cause pressure over major veins and block the circulation. In such circumstances, this posture is ideal for relaxing, sleeping or practising yoga nidra. The bent knee and the head may. be supported on a pillow for further comfort.",,Normal and relaxed in the static pose.,"Physical - on relaxing the whole body, and on the breath. Spiritual - on manipura chakra.",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTKnJQfixf7DL0NMlUZ-AQM3ek2-hRt1rNm3A&s,,Digestive Stimulation,,Beginners
48,Sukhasana (easy pose,"Sit with the legs straight in front of the body. Bend one leg and place the foot under the opposite thigh. Bend the other leg and place the foot under the opposite thigh. Place the hands on the knees in chin or jnana mudra. Keep the head, neck and back upright and straight, but without strain. Close the eyes. Relax the whole body. The arms should be relaxed and not held straight. Sukhasana is a relaxing posture which may be 
used after extended periods of sitting in siddhasana or 
padmasana. 
Although sukhasana is said to be the simplest meditation 
posture, it is difficult to sustain for long periods of time 
unless the knees are close to the ground or on the ground. 
OtheiWise most of the body weight is supported by the 
96 buttocks and backache develops. The other meditation 
asanas create a larger and therefore steadier area of 
support. ",Sukhasana is the easiest and most comfortable of the meditation postures. It can be utilized without ill effect by persons who are unable to sit in the more difficult meditation postures. It facilitates mental and physical balance without causing strain or pain.,,,,,https://cdn.yogajournal.com/wp-content/uploads/2021/11/Easy-Pose-Mod-2_Andrew-Clark_1.jpg?width=730,,Comfortable Balance,"For those who are extremely stiff, sukhasana may be performed sitting cross-legged with a belt or cloth tied around the knees and lower back. Hold the spine upright. Concentrate on the physical balance and equalizing the weight on the right and left side of the body. A light, spacey feeling may be experienced. While maintaining the posture, place the hands on the knees in chin or jnana mudra.",Beginners
